Device,Max Clients,Unique Clients,Buildings
Wainani F 1102LR Tmp,4,18,Wainani
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,8,9,Frear
Frear D 207C Temp,2,5,Frear
Frear D 707C Temp,5,5,Frear
Noelani E Store,1,28,Noelani
Lokelani 1058 Temp,7,9,Lokelani
Lehua 1012 Temp,3,9,Lehua
HA Cafe Display Test,0,0,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,3,Hale Aloha Cafe
Frear D 1007C Temp,4,7,Frear
Lehua 408 Temp,5,10,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,5,7,Frear
Frear D 807C Temp,4,6,Frear
Frear D 801C,3,3,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,3,Sinclair Library
Laulima 311T,6,9,Hale Laulima
Frear D 607C Temp,4,9,Mokihana
Sinclair ACM 191A,0,2,Sinclair Library
Sinclair ACM 193A,0,6,Sinclair Library
Sinclair ACM 192,3,9,Sinclair Library
Sinclair ACM B03 Makai,1,5,Sinclair Library
Sinclair ACM 194,2,12,Sinclair Library
Sinclair ACM B08D,1,3,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,7,121,Kennedy
Crawford ECB Outdoor,3,55,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,8,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,11,Gateway
Spalding 256,3,8,Spalding Hall
Moore 328,0,6,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,3,Moore Hall
Moore 370 Hallway,1,5,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,1,1,Moore Hall
Moore 308,0,1,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,2,20,Moore Hall
Moore 386 Hallway,3,3,Moore Hall
Moore 426,1,3,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,2,2,Moore Hall
Moore 383 Hallway,2,4,Moore Hall
Moore 402 Hallway,2,3,Moore Hall
Moore 257,1,6,Moore Hall
Moore 255 Hallway,1,3,Moore Hall
Moore 457 Hallway,1,3,Moore Hall
Moore 585 Hallway,2,3,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
