Device,Max Clients,Unique Clients,Building
Webster 104,0,0,Webster Hall
Webster 201A,2,2,Webster Hall
Webster 204AA,2,4,Webster Hall
Edmondson 4th Fl Lanai,4,8,Edmondson Hall
Webster 113,1,4,Webster Hall
Webster 334,9,9,Webster Hall
Snyder 401C Hallway,1,1,Snyder Hall
Webster 403 Hallway,1,1,Webster Hall
Webster 200A,1,4,Webster Hall
Snyder 410 Hallway,3,4,Snyder Hall
Webster 332 Hallway,1,4,Webster Hall
Webster 201,0,0,Webster Hall
Webster 222 Hallway,0,0,Webster Hall
Snyder 411 Hallway,1,1,Snyder Hall
Spalding 353B,1,1,Spalding Hall
Spalding 354D,0,1,Spalding Hall
Paradise Palms DH Makai Dining,0,0,Paradise Palms
Paradise Palms Dunkin,1,4,Paradise Palms
Spalding 352,1,1,Spalding Hall
Spalding 255,3,8,Spalding Hall
Paradise Palms Center Dining,0,0,Paradise Palms
Spalding 454,0,0,Spalding Hall
Spalding 362,0,0,Spalding Hall
Spalding 358,0,0,Spalding Hall
Spalding 155 Mauka Ewa,1,1,Spalding Hall
Paradise Palms Ewa Makai Dining,1,1,Paradise Palms
Paradise Palms DH Mauka Dining,0,0,Paradise Palms
Spalding 155 Makai Ewa,1,2,Spalding Hall
Spalding 354,1,0,Spalding Hall
Spalding 155 Makai DH,0,0,Spalding Hall
Spalding 360,1,1,Spalding Hall
Spalding 453A,2,2,Spalding Hall
Spalding 257,0,0,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,1,7,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,0,0,Snyder Hall
Emergency Call Box Snyder,1,3,Snyder Hall
Noelani A 107T,4,7,Noelani
HIG 314A,0,0,HIG
HIG 351 Hallway,0,0,HIG
HIG 312,0,1,HIG
HIG 340,0,0,HIG
HIG 305A,0,0,HIG
HIG 318,5,14,HIG
HIG 131,1,3,HIG
HIG 364 Hallway,0,0,HIG
HIG 353,3,4,HIG
HIG 337,1,1,HIG
HIG 367,0,0,HIG
HIG 316,0,0,HIG
HIG 333,3,4,HIG
HIG 303,1,3,HIG
HIG 109,5,8,HIG
HIG 315,0,0,HIG
HIG 376,0,0,HIG
HIG 151,1,6,HIG
HIG 311,0,0,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,1,7,HIG
HIG 105B,1,1,HIG
HIG 110 Mauka DH,1,1,HIG
HIG 108,1,2,HIG
HIG 372,1,2,HIG
HIG 117A,1,2,HIG
HIG 309,0,0,HIG
HIG 310,0,0,HIG
HIG 321,3,5,HIG
HIG 131A,2,5,HIG
HIG 362,2,2,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 106 Hallway,2,6,Kuykendall
HIG 417 Mauka,0,0,HIG
HIG 440,0,0,HIG
HIG 215C,0,0,HIG
HIG 116,0,2,HIG
HIG 213,0,1,HIG
Kuykendall 101 DH,0,0,Kuykendall
