Device,Max Clients,Unique Clients,Building
Sodexo Gateway Office AP,2,21,Gateway
Spalding 256,3,9,Spalding Hall
Moore 328,0,6,Moore Hall
Moore 316,2,2,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,2,Moore Hall
Moore 453 Hallway,2,3,Moore Hall
Moore 483 Hallway,0,2,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,16,Moore Hall
Moore 386 Hallway,1,1,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,2,2,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,1,3,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,3,4,Moore Hall
Moore 257,1,5,Moore Hall
Moore 255 Hallway,2,4,Moore Hall
Moore 457 Hallway,2,3,Moore Hall
Moore 585 Hallway,4,5,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,6,8,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,2,5,Moore Hall
Moore 428,1,2,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,2,11,Moore Hall
Moore 560 Hallway,1,1,Moore Hall
Moore 155B,2,2,Moore Hall
Moore 470,2,3,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,1,Moore Hall
Moore 225,0,5,Moore Hall
Moore 153B,1,12,Moore Hall
Moore 152,1,5,Moore Hall
Moore 153A,5,19,Moore Hall
Moore 262,0,2,Moore Hall
Moore 103,1,3,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,3,3,Moore Hall
Moore 104 Hallway,1,3,Moore Hall
Moore 321 Hallway,0,2,Moore Hall
Moore 109,0,9,Moore Hall
Moore 162,1,3,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,2,2,Moore Hall
Moore 256 DH,1,5,Moore Hall
Moore 156,3,8,Moore Hall
Moore 360 Hallway,5,5,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,2,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,2,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,3,Moore Hall
Moore 112,1,8,Moore Hall
Moore 256 Ewa,3,23,Moore Hall
Moore 253,1,7,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,1,4,Moore Hall
Moore 218 Hallway,0,1,Moore Hall
Moore 161,5,9,Moore Hall
Moore 258,1,5,Moore Hall
Moore 570,4,5,Moore Hall
Moore 481 Hallway,2,4,Moore Hall
Moore 496 Hallway,1,1,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,1,2,Moore Hall
Moore 102,0,1,Moore Hall
Moore 151,1,13,Moore Hall
Moore 569,3,4,Moore Hall
Moore 424,1,2,Moore Hall
Moore 117 DH,1,7,Moore Hall
Moore 564 Hallway,2,2,Moore Hall
Moore 119,1,6,Moore Hall
Moore 216,2,2,Moore Hall
Moore 264,0,1,Moore Hall
Moore 204,0,3,Moore Hall
Moore 228 Makai,0,8,Moore Hall
Moore 111,0,4,Moore Hall
Moore 117 Ewa,0,2,Moore Hall
Moore 202,0,1,Moore Hall
Moore 155A,1,8,Moore Hall
Moore 227,1,13,Moore Hall
Moore 423 Hallway,2,3,Moore Hall
Moore 259,4,5,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,2,6,Moore Hall
Moore 203,0,2,Moore Hall
Moore 105,0,4,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,0,2,Moore Hall
Moore 414 Hallway,1,1,Moore Hall
Moore 226,0,4,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,0,1,Moore Hall
Moore 254,1,3,Moore Hall
Moore 394,3,3,Moore Hall
Moore 206,0,6,Moore Hall
Moore 228 Mauka,0,14,Moore Hall
Hamilton P3 456,0,2,Hamilton Library
Hamilton P1 003 - INS Commons Area,1,2,Hamilton Library
Hamilton P3 356 Makai,0,3,Hamilton Library
Hamilton P3 550,0,1,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,2,18,Hamilton Library
Hamilton P2 109A,4,16,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,1,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,2,6,Hamilton Library
Hamilton P3 354A DH,1,1,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,1,2,Hamilton Library
Hamilton P3 A153,2,9,Hamilton Library
Hamilton P2 114A/113,2,16,Hamilton Library
Hamilton P3 Bridge,1,4,Hamilton Library
Hamilton P3 A260 Makai,1,1,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,1,2,Hamilton Library
Hamilton P3 456 Makai,0,3,Hamilton Library
Hamilton P3 454A DH,1,1,Hamilton Library
Hamilton P3 A261 Study Area,0,1,Hamilton Library
Hamilton P3 151E,0,1,Hamilton Library
Hamilton P3 150A Study Area,1,5,Hamilton Library
Hamilton P3 553C,1,9,Hamilton Library
Hamilton P3 356,0,1,Hamilton Library
Hamilton P3 258,1,4,Hamilton Library
Hamilton P2 501,0,1,Hamilton Library
Hamilton P2 120,1,4,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,2,Hamilton Library
