Device,Max Clients,Unique Clients,Building
Mokihana 1283 Tmp,5,10,Mokihana
Wainani I 1454A Tmp,6,7,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Sinclair ACM B03 Makai,1,1,Sinclair Library
Sinclair ACM 194,1,6,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,5,60,Kennedy
Crawford ECB Outdoor,1,16,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,4,10,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,6,Gateway
Spalding 256,2,2,Spalding Hall
Moore 328,0,2,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,2,Moore Hall
Moore 370 Hallway,0,1,Moore Hall
Moore 453 Hallway,1,1,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,8,Moore Hall
Moore 386 Hallway,0,0,Moore Hall
Moore 426,0,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,1,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,1,1,Moore Hall
Moore 257,0,1,Moore Hall
Moore 255 Hallway,1,2,Moore Hall
Moore 457 Hallway,1,2,Moore Hall
Moore 585 Hallway,1,1,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,2,3,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,1,4,Moore Hall
Moore 428,1,2,Moore Hall
Moore 455 Hallway,0,1,Moore Hall
Moore 416,0,1,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,1,3,Moore Hall
Moore 560 Hallway,0,1,Moore Hall
Moore 155B,3,5,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,1,Moore Hall
Moore 225,1,3,Moore Hall
Moore 153B,1,6,Moore Hall
Moore 152,1,5,Moore Hall
Moore 153A,2,12,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,1,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,3,4,Moore Hall
Moore 104 Hallway,2,2,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,1,4,Moore Hall
Moore 162,0,1,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,2,2,Moore Hall
Moore 256 DH,0,3,Moore Hall
Moore 156,4,9,Moore Hall
Moore 360 Hallway,5,5,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,0,1,Moore Hall
Moore 115,0,1,Moore Hall
Moore 423 Makai,0,1,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,0,Moore Hall
Moore 112,1,4,Moore Hall
Moore 256 Ewa,2,12,Moore Hall
Moore 253,0,4,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,1,2,Moore Hall
Moore 161,2,5,Moore Hall
Moore 258,1,1,Moore Hall
Moore 570,5,5,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,1,1,Moore Hall
Moore 417,1,1,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,1,1,Moore Hall
Moore 102,0,2,Moore Hall
Moore 151,0,7,Moore Hall
Moore 569,4,4,Moore Hall
Moore 424,0,0,Moore Hall
Moore 117 DH,1,4,Moore Hall
Moore 564 Hallway,0,1,Moore Hall
Moore 119,0,4,Moore Hall
Moore 216,2,2,Moore Hall
Moore 264,1,2,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,1,3,Moore Hall
Moore 111,1,1,Moore Hall
Moore 117 Ewa,0,1,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,2,6,Moore Hall
Moore 227,2,7,Moore Hall
Moore 423 Hallway,2,2,Moore Hall
Moore 259,1,3,Moore Hall
Moore 211 Hallway,1,1,Moore Hall
Moore 120,0,2,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,0,1,Moore Hall
Moore 224,0,1,Moore Hall
Moore 421 Hallway,1,1,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,1,4,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,1,2,Moore Hall
Moore 254,1,2,Moore Hall
Moore 394,0,1,Moore Hall
Moore 206,0,0,Moore Hall
Moore 228 Mauka,1,10,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,1,Hamilton Library
Hamilton P3 356 Makai,1,4,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,1,13,Hamilton Library
Hamilton P2 109A,1,1,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,1,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,1,1,Hamilton Library
Hamilton P3 354A DH,1,1,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,2,4,Hamilton Library
Hamilton P3 A153,1,7,Hamilton Library
Hamilton P2 114A/113,1,5,Hamilton Library
Hamilton P3 Bridge,1,3,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,1,2,Hamilton Library
Hamilton P3 456 Makai,1,2,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,1,5,Hamilton Library
Hamilton P3 553C,1,2,Hamilton Library
Hamilton P3 356,0,1,Hamilton Library
Hamilton P3 258,0,0,Hamilton Library
Hamilton P2 501,1,1,Hamilton Library
Hamilton P2 120,0,1,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,2,Hamilton Library
Hamilton P2 110A,1,4,Hamilton Library
Hamilton 412 Hallway,0,1,Hamilton Library
Hamilton P1 100 CLIC,1,4,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,8,Hamilton Library
Hamilton P2 422/423 Hallway,0,1,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,0,1,Hamilton Library
Hamilton P2 014 DH,1,1,Hamilton Library
Hamilton P2 320,0,1,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,1,2,Hamilton Library
Hamilton P1 002-Administration,1,1,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,0,0,Hamilton Library
Hamilton P2 400,1,1,Hamilton Library
Hamilton P3 156,1,1,Hamilton Library
Hamilton P1 003 Mauka,0,0,Hamilton Library
Hamilton P2 016,1,4,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,1,Hamilton Library
Hamilton P2 006B,1,3,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,2,1,Hamilton Library
Hamilton 4th Fl Asia 27,0,1,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,0,1,Hamilton Library
Hamilton P1 102,1,1,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,0,1,Hamilton Library
Hamilton P2 108,0,2,Hamilton Library
Hamilton P2 1stFl Elevator,2,16,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,0,1,Hamilton Library
Hamilton P2 029,2,5,Hamilton Library
Hamilton P1 208,0,0,Hamilton Library
Hamilton P1 006 DH,0,1,Hamilton Library
Hamilton P1 202,0,0,Hamilton Library
Hamilton P1 101 DH,1,2,Hamilton Library
Hamilton P1 100-Study Area,2,8,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,2,3,Hamilton Library
Hamilton P2 014 Ewa,1,2,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,1,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,3,Hamilton Library
Hamilton P2 026,1,4,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,3,9,Hamilton Library
Hamilton 4th Fl Asia 34,0,1,Hamilton Library
Hamilton P1 101 Hallway,4,10,Hamilton Library
Hamilton P2 217 Hallway,1,1,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,9,15,Hamilton Library
Hamilton P1 003 Makai,1,2,Hamilton Library
Hamilton P1 006A GovDocs,2,2,Hamilton Library
Hamilton P2 008 Ewa,3,6,Hamilton Library
Hamilton P2 123,0,1,Hamilton Library
Hamilton P1 006 Ewa,1,2,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,0,3,Spalding Hall
Edmondson 114,3,6,Edmondson Hall
Edmondson 112,4,4,Edmondson Hall
Edmondson 111,0,0,Edmondson Hall
Edmondson 414,4,6,Edmondson Hall
Webster 327 Hallway,4,5,Webster Hall
Webster 303 Hallway,2,5,Webster Hall
Edmondson 215,2,5,Edmondson Hall
Webster 101 Makai,1,5,Webster Hall
Webster 103,0,1,Webster Hall
Webster Hallway 319E,2,4,Webster Hall
Webster 412 Hallway,1,1,Webster Hall
