Device,Max Clients,Unique Clients,Building
Frear Q 528B Tmp,3,5,Frear
Mokihana 1283 Tmp,5,10,Mokihana
Wainani I 1454A Tmp,7,8,Wainani
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,1,4,Hamilton Library
Wainani F 1102LR Tmp,5,16,Wainani
Frear D 907C Tmp,3,3,Frear
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,5,6,Frear
Frear D 207C Temp,3,7,Frear
Frear D 707C Temp,2,2,Frear
Noelani E Store,7,13,Noelani
Lokelani 1058 Temp,7,8,Lokelani
Lehua 1012 Temp,1,3,Lehua
HA Cafe Display Test,3,4,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,2,Hale Aloha Cafe
Frear D 1007C Temp,2,2,Frear
Lehua 408 Temp,3,6,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,5,Frear
Frear D 807C Temp,3,5,Frear
Frear D 801C,3,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,0,1,Sinclair Library
Laulima 311T,5,7,Hale Laulima
Frear D 607C Temp,5,9,Mokihana
Sinclair ACM 191A,0,1,Sinclair Library
Sinclair ACM 193A,0,3,Sinclair Library
Sinclair ACM 192,2,6,Sinclair Library
Sinclair ACM B03 Makai,1,1,Sinclair Library
Sinclair ACM 194,1,5,Sinclair Library
Sinclair ACM B08D,0,1,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,4,59,Kennedy
Crawford ECB Outdoor,1,19,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,0,2,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,2,Gateway
Spalding 256,2,6,Spalding Hall
Moore 328,0,3,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,1,1,Moore Hall
Moore 370 Hallway,1,2,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,0,1,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,2,9,Moore Hall
Moore 386 Hallway,2,3,Moore Hall
Moore 426,1,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,3,3,Moore Hall
Moore 402 Hallway,1,1,Moore Hall
Moore 257,1,3,Moore Hall
Moore 255 Hallway,3,3,Moore Hall
Moore 457 Hallway,0,2,Moore Hall
Moore 585 Hallway,2,2,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,3,4,Moore Hall
Moore 365 Hallway,0,0,Moore Hall
Moore 570 Hallway,1,5,Moore Hall
Moore 428,0,2,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,0,3,Moore Hall
Moore 560 Hallway,0,1,Moore Hall
Moore 155B,1,3,Moore Hall
Moore 470,3,3,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,3,Moore Hall
Moore 225,0,2,Moore Hall
Moore 153B,0,11,Moore Hall
Moore 152,0,7,Moore Hall
Moore 153A,3,11,Moore Hall
Moore 262,1,1,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,3,4,Moore Hall
Moore 104 Hallway,0,0,Moore Hall
Moore 321 Hallway,0,1,Moore Hall
Moore 109,0,2,Moore Hall
Moore 162,0,2,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,2,3,Moore Hall
Moore 256 DH,2,10,Moore Hall
Moore 156,1,4,Moore Hall
Moore 360 Hallway,4,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,0,1,Moore Hall
Moore 115,1,1,Moore Hall
Moore 423 Makai,0,0,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,0,Moore Hall
Moore 112,2,6,Moore Hall
Moore 256 Ewa,3,13,Moore Hall
Moore 253,2,8,Moore Hall
Moore 2ndFlIDF Makai,0,1,Moore Hall
Moore 572,2,3,Moore Hall
Moore 218 Hallway,1,2,Moore Hall
Moore 161,2,4,Moore Hall
Moore 258,0,2,Moore Hall
Moore 570,7,7,Moore Hall
Moore 481 Hallway,2,2,Moore Hall
Moore 496 Hallway,1,1,Moore Hall
Moore 417,1,2,Moore Hall
Moore 324,0,0,Moore Hall
Moore 493 Hallway,0,2,Moore Hall
Moore 102,1,1,Moore Hall
Moore 151,0,6,Moore Hall
Moore 569,2,4,Moore Hall
Moore 424,0,0,Moore Hall
Moore 117 DH,0,3,Moore Hall
Moore 564 Hallway,0,1,Moore Hall
Moore 119,1,2,Moore Hall
Moore 216,1,3,Moore Hall
Moore 264,0,1,Moore Hall
Moore 204,0,0,Moore Hall
Moore 228 Makai,1,2,Moore Hall
Moore 111,0,2,Moore Hall
Moore 117 Ewa,0,1,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,1,5,Moore Hall
Moore 227,1,6,Moore Hall
Moore 423 Hallway,1,1,Moore Hall
Moore 259,0,6,Moore Hall
Moore 211 Hallway,0,1,Moore Hall
Moore 120,0,3,Moore Hall
Moore 203,0,1,Moore Hall
Moore 105,0,0,Moore Hall
Moore 224,0,1,Moore Hall
Hamilton P2 114A/113,1,7,Hamilton Library
Hamilton P3 Bridge,1,4,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,2,2,Hamilton Library
Hamilton P3 456 Makai,0,5,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,1,1,Hamilton Library
Hamilton P3 150A Study Area,0,3,Hamilton Library
Hamilton P3 553C,0,4,Hamilton Library
Hamilton P3 356,1,1,Hamilton Library
Hamilton P3 258,0,3,Hamilton Library
Hamilton P2 501,1,2,Hamilton Library
Hamilton P2 120,0,1,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,3,Hamilton Library
Hamilton P2 110A,1,5,Hamilton Library
Hamilton 412 Hallway,1,2,Hamilton Library
Hamilton P1 100 CLIC,3,5,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,1,7,Hamilton Library
Hamilton P2 422/423 Hallway,0,1,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,1,2,Hamilton Library
Hamilton P2 014 DH,2,2,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,1,1,Hamilton Library
Hamilton P3 BET,1,1,Hamilton Library
Hamilton P1 002-Administration,1,1,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,2,2,Hamilton Library
Hamilton P2 400,1,2,Hamilton Library
Hamilton P3 156,1,2,Hamilton Library
Hamilton P1 003 Mauka,0,1,Hamilton Library
Hamilton P2 016,1,3,Hamilton Library
Hamilton P1 003F,1,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,1,3,Hamilton Library
Hamilton P2 006B,1,3,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,3,2,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,0,0,Hamilton Library
Hamilton P1 102,1,2,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,0,0,Hamilton Library
Hamilton P2 108,1,3,Hamilton Library
Hamilton P2 1stFl Elevator,3,18,Hamilton Library
Hamilton P1 006D Ewa,1,1,Hamilton Library
Hamilton P1 006A,0,1,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,0,1,Hamilton Library
Hamilton P2 029,1,4,Hamilton Library
Hamilton P1 208,0,0,Hamilton Library
Hamilton P1 006 DH,0,1,Hamilton Library
Hamilton P1 202,0,1,Hamilton Library
Hamilton P1 101 DH,1,5,Hamilton Library
Hamilton P1 100-Study Area,2,10,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,0,1,Hamilton Library
Hamilton P2 014 Ewa,0,3,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,1,4,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,1,4,Hamilton Library
Hamilton P2 026,1,2,Hamilton Library
Hamilton P2 306 DH,1,1,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,4,12,Hamilton Library
Hamilton 4th Fl Asia 34,0,1,Hamilton Library
Hamilton P1 101 Hallway,2,11,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,5,13,Hamilton Library
Hamilton P1 003 Makai,2,2,Hamilton Library
Hamilton P1 006A GovDocs,2,2,Hamilton Library
Hamilton P2 008 Ewa,1,4,Hamilton Library
Hamilton P2 123,0,2,Hamilton Library
Hamilton P1 006 Ewa,1,2,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,0,3,Spalding Hall
Edmondson 114,12,13,Edmondson Hall
Edmondson 112,3,5,Edmondson Hall
Edmondson 111,0,1,Edmondson Hall
Edmondson 3rd Fl Lanai,0,7,Edmondson Hall
Edmondson 1st Fl Lanai,2,37,Edmondson Hall
Edmondson 2nd Fl Lanai,3,9,Edmondson Hall
Edmondson 104,1,3,Edmondson Hall
Edmondson 101,2,5,Edmondson Hall
Edmondson 110,0,1,Edmondson Hall
Edmondson 103,11,15,Edmondson Hall
Edmondson 408,1,1,Edmondson Hall
Edmondson 212,0,0,Edmondson Hall
Edmondson 301 Mauka,3,4,Edmondson Hall
Edmondson 301 Makai,0,1,Edmondson Hall
Edmondson 401 Center,1,1,Edmondson Hall
Webster 203 Makai,0,0,Webster Hall
Webster 115,3,8,Webster Hall
Edmondson 301 Center,0,0,Edmondson Hall
Edmondson 401 Mauka,1,2,Edmondson Hall
Webster 101 Mauka,5,8,Webster Hall
Webster 446 Hallway,2,5,Webster Hall
Webster 114,1,3,Webster Hall
Webster 116,2,6,Webster Hall
Edmondson 411,1,2,Edmondson Hall
Webster 203 Ewa,0,1,Webster Hall
Webster 103 Hallway,0,2,Webster Hall
Edmondson 418,0,1,Edmondson Hall
Edmondson 203,4,6,Edmondson Hall
Webster 102,0,1,Webster Hall
Webster 112,3,6,Webster Hall
Edmondson 313,0,2,Edmondson Hall
Edmondson 401 Makai,0,1,Edmondson Hall
Edmondson 216,1,1,Edmondson Hall
Edmondson 201,2,3,Edmondson Hall
Webster 407 Hallway,1,1,Webster Hall
Edmondson 414,1,2,Edmondson Hall
Webster 327 Hallway,9,12,Webster Hall
Webster 303 Hallway,1,4,Webster Hall
Edmondson 215,1,4,Edmondson Hall
Webster 101 Makai,3,7,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,0,3,Webster Hall
Webster 412 Hallway,2,4,Webster Hall
Webster 314 Hallway,3,7,Webster Hall
Webster 205,0,0,Webster Hall
Edmondson 213A,2,2,Edmondson Hall
Webster 214 Hallway,1,2,Webster Hall
Webster 438 Hallway,0,1,Webster Hall
Webster 432 Hallway,1,5,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
Edmondson 309,1,2,Edmondson Hall
Edmondson 205,3,4,Edmondson Hall
Webster 203 Mauka,0,1,Webster Hall
Webster Hallway 317,4,4,Webster Hall
Webster 442 Hallway,1,2,Webster Hall
Webster 337 Hallway,1,3,Webster Hall
Webster 323 Hallway,1,2,Webster Hall
Edmondson 318,2,3,Edmondson Hall
Edmondson 308,0,0,Edmondson Hall
Webster 301,2,13,Webster Hall
Webster 402,1,2,Webster Hall
Webster 104,0,0,Webster Hall
Webster 201A,1,2,Webster Hall
Webster 204AA,1,1,Webster Hall
Edmondson 4th Fl Lanai,1,5,Edmondson Hall
Webster 113,1,5,Webster Hall
Webster 334,6,10,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
Webster 403 Hallway,0,1,Webster Hall
Webster 200A,1,11,Webster Hall
Snyder 410 Hallway,0,1,Snyder Hall
Webster 332 Hallway,2,5,Webster Hall
Webster 201,0,0,Webster Hall
Webster 222 Hallway,0,0,Webster Hall
Snyder 411 Hallway,0,0,Snyder Hall
Spalding 353B,0,1,Spalding Hall
Spalding 354D,1,2,Spalding Hall
Paradise Palms DH Makai Dining,0,0,Paradise Palms
Paradise Palms Dunkin,0,3,Paradise Palms
Spalding 352,0,2,Spalding Hall
Spalding 255,2,10,Spalding Hall
Paradise Palms Center Dining,0,0,Paradise Palms
Spalding 454,0,3,Spalding Hall
Spalding 362,0,2,Spalding Hall
Spalding 358,0,1,Spalding Hall
Spalding 155 Mauka Ewa,1,1,Spalding Hall
Paradise Palms Ewa Makai Dining,0,0,Paradise Palms
Paradise Palms DH Mauka Dining,0,0,Paradise Palms
Spalding 155 Makai Ewa,0,2,Spalding Hall
Spalding 354,0,3,Spalding Hall
Spalding 155 Makai DH,0,1,Spalding Hall
Spalding 360,0,1,Spalding Hall
Spalding 453A,1,1,Spalding Hall
Spalding 257,0,1,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,1,3,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,0,1,Snyder Hall
Emergency Call Box Snyder,0,4,Snyder Hall
Noelani A 107T,3,12,Noelani
HIG 314A,0,0,HIG
HIG 351 Hallway,1,3,HIG
HIG 312,0,1,HIG
HIG 340,0,0,HIG
HIG 305A,0,0,HIG
HIG 318,3,16,HIG
HIG 131,3,7,HIG
HIG 364 Hallway,0,0,HIG
HIG 353,1,1,HIG
HIG 337,1,1,HIG
HIG 367,0,0,HIG
HIG 316,0,1,HIG
HIG 333,0,0,HIG
HIG 303,0,0,HIG
HIG 109,2,8,HIG
HIG 315,0,0,HIG
HIG 376,0,0,HIG
HIG 151,2,10,HIG
HIG 311,1,1,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,0,7,HIG
HIG 105B,0,0,HIG
HIG 110 Mauka DH,1,1,HIG
HIG 108,0,1,HIG
HIG 372,1,3,HIG
HIG 117A,0,4,HIG
HIG 309,0,0,HIG
HIG 310,0,0,HIG
HIG 321,2,5,HIG
HIG 131A,2,5,HIG
HIG 362,2,2,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 411 Hallway,1,1,Kuykendall
Kuykendall 419 Hallway,0,0,Kuykendall
Holmes 452,1,2,Holmes Hall
Kuykendall 417 Hallway,0,1,Kuykendall
Holmes 448,6,6,Holmes Hall
Holmes 390,2,2,Holmes Hall
Holmes 357,0,0,Holmes Hall
Kuykendall 716 Hallway,1,1,Kuykendall
Holmes 347,3,3,Holmes Hall
Holmes 142 Makai,0,0,Holmes Hall
Holmes 287,0,0,Holmes Hall
Kuykendall 426 Hallway,1,3,Kuykendall
Kuykendall 206 Temp,4,12,Kuykendall
Kuykendall 313,0,2,Kuykendall
Kuykendall 318 Hallway,0,0,Kuykendall
Holmes 352 Hallway,2,3,Holmes Hall
Holmes 310B,2,3,Holmes Hall
Kuykendall 106A,0,9,Kuykendall
Kuykendall 307 DH,0,5,Kuykendall
Holmes 240C,6,8,Holmes Hall
Holmes 447 Hallway,0,2,Holmes Hall
Kuykendall 514 Hallway,0,0,Kuykendall
Holmes 310,1,1,Holmes Hall
Holmes 385 DH,1,2,Holmes Hall
Kuykendall 107 Hallway,5,8,Kuykendall
Kuykendall 616 Hallway,0,0,Kuykendall
Holmes 142B,3,3,Holmes Hall
Holmes 142 Mauka,0,0,Holmes Hall
Holmes 336 Hallway,2,3,Holmes Hall
Kuykendall 304,0,0,Kuykendall
Holmes 348D,1,1,Holmes Hall
Kuykendall 523 Hallway,0,0,Kuykendall
Holmes 306,0,0,Holmes Hall
Kuykendall 209 DH,0,8,Kuykendall
Holmes 308,0,1,Holmes Hall
Kuykendall 621 Hallway,0,0,Kuykendall
Holmes 181 Hallway,1,17,Holmes Hall
Holmes 386,0,0,Holmes Hall
Holmes 140A,0,1,Holmes Hall
Holmes 350A,0,0,Holmes Hall
Kuykendall 408,0,1,Kuykendall
Kuykendall 223 Hallway,2,2,Kuykendall
Kuykendall 310,0,5,Kuykendall
Kuykendall 424 Hallway,0,1,Kuykendall
Holmes 183,0,0,Holmes Hall
Holmes 388,0,0,Holmes Hall
Holmes 286 Hallway,0,1,Holmes Hall
Kuykendall 401A,1,1,Kuykendall
Kuykendall 201 Hallway,1,2,Kuykendall
Kuykendall 305,0,2,Kuykendall
Kuykendall 101 Hallway DH,2,5,Kuykendall
Holmes 458,1,1,Holmes Hall
Holmes 288A,2,2,Holmes Hall
Holmes 457,1,1,Holmes Hall
Holmes 288,0,0,Holmes Hall
Kuykendall 407,0,6,Kuykendall
Kuykendall 101 Hallway Ewa,1,3,Kuykendall
Kuykendall 303,0,0,Kuykendall
Kuykendall 301 Ewa,0,0,Kuykendall
Holmes 300 Hallway,1,1,Holmes Hall
Holmes 382 Hallway,1,1,Holmes Hall
Holmes 341 Hallway,1,2,Holmes Hall
Holmes 407,1,2,Holmes Hall
Kuykendall 309,1,2,Kuykendall
Holmes 451,0,0,Holmes Hall
Holmes 304 Hallway,1,2,Holmes Hall
Holmes 182,0,0,Holmes Hall
Kuykendall 306 DH,0,2,Kuykendall
Kuykendall 301 DH,0,1,Kuykendall
Holmes 102MA,0,1,Holmes Hall
Holmes 181,0,0,Holmes Hall
Kuykendall 516 Hallway,0,0,Kuykendall
Holmes 458 Hallway,6,6,Holmes Hall
Kuykendall 724 Hallway,1,2,Kuykendall
Kuykendall 614 Hallway,1,1,Kuykendall
Holmes 358,1,1,Holmes Hall
Kuykendall 216 Hallway,0,0,Kuykendall
Holmes 387,1,1,Holmes Hall
Holmes 385 Hallway,0,3,Holmes Hall
Kuykendall 210,2,9,Kuykendall
Kuykendall 307 Ewa,0,0,Kuykendall
Holmes 286,0,1,Holmes Hall
Holmes 389,0,0,Holmes Hall
Kuykendall 623 Hallway,0,0,Kuykendall
Kuykendall 209 Ewa,1,2,Kuykendall
Holmes 455,0,0,Holmes Hall
Holmes 183 Hallway,1,14,Holmes Hall
Kuykendall 302,0,0,Kuykendall
Holmes 351 Hallway,1,1,Holmes Hall
Kuykendall 713 Hallway,0,1,Kuykendall
Kuykendall 306 Ewa,1,5,Kuykendall
Holmes 180 Mauka,0,0,Holmes Hall
Kuykendall 308,0,0,Kuykendall
Holmes 142A,0,1,Holmes Hall
Holmes 345 Hallway,1,2,Holmes Hall
Kuykendall 218 Hallway,0,0,Kuykendall
Holmes 449 Hallway,0,0,Holmes Hall
Holmes 309,0,0,Holmes Hall
Holmes 180 Makai,0,0,Holmes Hall
Holmes 101 Civil Engineering,1,2,Holmes Hall
Kuykendall 406,0,0,Kuykendall
Kuykendall Annex Rm 7,1,11,Kuykendall
Holmes 288A Hallway,1,6,Holmes Hall
Holmes 2nd Fl DH Commons,1,7,Holmes Hall
Holmes 247 Mauka,0,1,Holmes Hall
Holmes 307,3,3,Holmes Hall
Holmes 408,2,2,Holmes Hall
Holmes 485 Hallway,0,0,Holmes Hall
Holmes 482 Hallway,0,0,Holmes Hall
Holmes 489 Hallway,1,2,Holmes Hall
Holmes 102 Hallway,2,33,Holmes Hall
Holmes 406 Hallway,1,1,Holmes Hall
Holmes 408A,1,1,Holmes Hall
Holmes 100 Stairs,0,2,Holmes Hall
Holmes 101,2,2,Holmes Hall
Holmes 489,0,0,Holmes Hall
Holmes 486,1,1,Holmes Hall
Holmes 209,3,3,Holmes Hall
Holmes 102MC,0,1,Holmes Hall
Holmes Ewa Makai Stairs,1,16,Holmes Hall
Holmes 492,0,0,Holmes Hall
Holmes 207 Hallway,1,3,Holmes Hall
Holmes 102MD,0,0,Holmes Hall
Holmes 411,0,0,Holmes Hall
Holmes BET,0,0,Holmes Hall
Holmes 101A,1,1,Holmes Hall
Holmes 240 Ewa,1,3,Holmes Hall
Holmes 243,0,0,Holmes Hall
Holmes 248,0,1,Holmes Hall
Holmes 246,0,0,Holmes Hall
Holmes 244A,0,0,Holmes Hall
Holmes 491,0,0,Holmes Hall
Holmes 242 Makai,0,0,Holmes Hall
Holmes 240K Hallway,1,5,Holmes Hall
Holmes 140,1,1,Holmes Hall
Holmes 102B,0,0,Holmes Hall
Moore 421 Hallway,0,1,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,0,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,1,2,Moore Hall
Moore 254,0,2,Moore Hall
Moore 394,3,4,Moore Hall
Moore 206,0,1,Moore Hall
Moore 228 Mauka,1,12,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,1,Hamilton Library
Hamilton P3 356 Makai,1,5,Hamilton Library
Hamilton P3 550,1,1,Hamilton Library
