Device,Max Clients,Unique Clients,Building
Wainani H 362B Temp,2,2,Wainani
Frear D 507C Temp,5,9,Frear
Frear D 207C Temp,4,10,Frear
Frear D 707C Temp,4,5,Frear
Noelani E Store,1,10,Noelani
Lokelani 1058 Temp,6,7,Lokelani
Lehua 1012 Temp,2,4,Lehua
HA Cafe Display Test,0,0,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,1,1,Hale Aloha Cafe
Frear D 1007C Temp,3,3,Frear
Lehua 408 Temp,4,7,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,6,Frear
Frear D 807C Temp,4,10,Frear
Frear D 801C,4,5,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,1,Sinclair Library
Laulima 311T,7,12,Hale Laulima
Frear D 607C Temp,3,6,Mokihana
Sinclair ACM 191A,0,0,Sinclair Library
Sinclair ACM 193A,0,4,Sinclair Library
Sinclair ACM 192,2,3,Sinclair Library
Sinclair ACM B03 Makai,0,2,Sinclair Library
Sinclair ACM 194,2,14,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,7,92,Kennedy
Crawford ECB Outdoor,1,28,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,10,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,1,13,Gateway
Spalding 256,1,3,Spalding Hall
Moore 328,1,8,Moore Hall
Moore 316,2,2,Moore Hall
Moore 323 Hallway,0,2,Moore Hall
Moore 460 Hallway,1,1,Moore Hall
Moore 370 Hallway,1,2,Moore Hall
Moore 453 Hallway,2,3,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,1,9,Moore Hall
Moore 386 Hallway,1,1,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,2,2,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,3,Moore Hall
Moore 383 Hallway,1,2,Moore Hall
Moore 402 Hallway,2,3,Moore Hall
Moore 257,0,6,Moore Hall
Moore 255 Hallway,0,2,Moore Hall
Moore 457 Hallway,1,3,Moore Hall
Moore 585 Hallway,4,6,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,0,1,Moore Hall
Moore 365 Hallway,0,0,Moore Hall
Moore 570 Hallway,1,3,Moore Hall
Moore 428,0,2,Moore Hall
Moore 455 Hallway,0,1,Moore Hall
Moore 416,1,1,Moore Hall
Moore 319,0,2,Moore Hall
Moore 107,0,4,Moore Hall
Moore 560 Hallway,0,1,Moore Hall
Moore 155B,1,3,Moore Hall
Moore 470,1,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,1,Moore Hall
Moore 225,1,2,Moore Hall
Moore 153B,1,14,Moore Hall
